Map,Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
MINI COSMOS,1,A_star,367,37,0.007675,0.125000
MINI COSMOS,2,A_star,1383,60,0.013999,0.296875
MINI COSMOS,3,A_star,2428,69,0.025967,0.421875
MINI COSMOS,4,A_star,893,71,0.008020,0.425781
MINI COSMOS,5,A_star,5618,104,0.052204,0.824219
MINI COSMOS,6,A_star,16432,99,0.153555,2.160156
MINI COSMOS,7,A_star,4411,61,0.041814,2.222656
MINI COSMOS,8,A_star,12498,93,0.131330,2.355469
MINI COSMOS,9,A_star,2291,85,0.020944,1.726562
MINI COSMOS,10,A_star,6476,102,0.066820,1.742188
MINI COSMOS,11,A_star,5318,74,0.048300,1.750000
MINI COSMOS,12,A_star,28239,112,0.326848,3.187500
MINI COSMOS,13,A_star,13219,80,0.132242,3.250000
MINI COSMOS,14,A_star,91166,121,1.030960,10.535156
MINI COSMOS,15,A_star,4939,82,0.045010,7.699219
MINI COSMOS,16,A_star,12398,114,0.124102,8.269531
MINI COSMOS,17,A_star,3033,65,0.024970,8.269531
MINI COSMOS,18,A_star,10802,110,0.096777,8.269531
MINI COSMOS,19,A_star,5702,72,0.046910,8.269531
MINI COSMOS,20,A_star,17847,112,0.177927,8.363281
MINI COSMOS,21,A_star,6146,71,0.053888,8.363281
MINI COSMOS,22,A_star,14291,99,0.138219,8.363281
MINI COSMOS,23,A_star,21904,99,0.198470,8.363281
MINI COSMOS,24,A_star,166240,177,1.871009,16.128906
MINI COSMOS,25,A_star,5465,81,0.046180,14.128906
MINI COSMOS,26,A_star,23664,133,0.236723,14.593750
MINI COSMOS,27,A_star,7139,103,0.066156,14.734375
MINI COSMOS,28,A_star,27957,189,0.265072,14.742188
MINI COSMOS,29,A_star,4530,58,0.039892,14.742188
MINI COSMOS,30,A_star,39150,168,0.507598,14.816406
MINI COSMOS,31,A_star,1234,74,0.011464,14.816406
MINI COSMOS,32,A_star,1342,91,0.012006,14.816406
MINI COSMOS,33,A_star,5382,94,0.050899,14.816406
MINI COSMOS,34,A_star,8860,101,0.083762,14.816406
MINI COSMOS,35,A_star,2046,88,0.020977,14.816406
MINI COSMOS,36,A_star,4470,72,0.045847,14.816406
MINI COSMOS,37,A_star,4885,96,0.049910,14.816406
MINI COSMOS,38,A_star,5244,50,0.046912,14.816406
MINI COSMOS,39,A_star,11633,100,0.107843,14.816406
MINI COSMOS,40,A_star,4290,84,0.044400,14.816406
MICRO COSMOS,1,A_star,43862,49,0.486557,14.832031
MICRO COSMOS,2,A_star,717155,211,8.747407,75.375000
MICRO COSMOS,3,A_star,16161,123,0.178017,58.765625
MICRO COSMOS,4,A_star,82775,107,0.962076,55.062500
MICRO COSMOS,5,A_star,1030515,116,14.471954,116.542969
MICRO COSMOS,6,A_star,140618,65,1.916837,96.902344
MICRO COSMOS,7,A_star,9711,110,0.097775,74.441406
MICRO COSMOS,8,A_star,46879,89,0.577475,57.835938
MICRO COSMOS,9,A_star,287401,209,3.190408,56.390625
MICRO COSMOS,10,A_star,28826,117,0.265910,35.675781
MICRO COSMOS,11,A_star,147113,125,2.102102,33.859375
MICRO COSMOS,12,A_star,99863,67,1.420720,28.105469
MICRO COSMOS,13,A_star,19050,128,0.203190,26.042969
MICRO COSMOS,14,A_star,153646,164,1.734298,26.195312
MICRO COSMOS,15,A_star,349713,139,4.873847,37.312500
MICRO COSMOS,16,A_star,345740,119,4.580398,38.242188
MICRO COSMOS,17,A_star,899554,188,10.241273,94.390625
MICRO COSMOS,18,A_star,112656,147,1.202350,81.328125
MICRO COSMOS,19,A_star,920444,124,12.444222,102.687500
MICRO COSMOS,20,A_star,97802,146,1.147076,88.109375
MICRO COSMOS,21,A_star,137704,185,1.744711,84.093750
MICRO COSMOS,22,A_star,1349365,170,16.487157,146.296875
MICRO COSMOS,23,A_star,16108,91,0.206144,115.328125
MICRO COSMOS,24,A_star,540534,165,7.946045,102.582031
MICRO COSMOS,25,A_star,178895,130,2.435369,63.675781
MICRO COSMOS,26,A_star,606099,176,7.550926,70.410156
MICRO COSMOS,27,A_star,109952,234,1.445153,58.117188
MICRO COSMOS,28,A_star,4392,73,0.042187,56.144531
MICRO COSMOS,29,A_star,7880,83,0.076837,55.894531
MICRO COSMOS,30,A_star,77155,161,0.925666,57.941406
MICRO COSMOS,31,A_star,11795,101,0.125375,53.187500
MICRO COSMOS,32,A_star,19184,82,0.218049,49.687500
MICRO COSMOS,33,A_star,75388,173,0.945706,45.941406
MICRO COSMOS,34,A_star,28059,100,0.308311,42.207031
MICRO COSMOS,35,A_star,11556,70,0.121806,30.261719
MICRO COSMOS,36,A_star,58902,98,0.579211,30.824219
MICRO COSMOS,37,A_star,177564,184,2.214540,29.468750
MICRO COSMOS,38,A_star,163826,188,1.901250,27.160156
MICRO COSMOS,39,A_star,32532,151,0.333429,24.554688
MICRO COSMOS,40,A_star,19123,150,0.183254,22.066406
