Map,Level,Algorithm,Status,Step,Time (s),Memory (MB)
MINI COSMOS,1,BFS,Completed,37,0.227,2.926
MINI COSMOS,2,BFS,Completed,60,1.018,11.848
MINI COSMOS,3,BFS,Completed,69,1.977,20.168
MINI COSMOS,4,BFS,Completed,71,0.545,10.832
MINI COSMOS,5,BFS,Completed,104,7.368,41.621
MINI COSMOS,6,BFS,Completed,99,37.121,125.684
MINI COSMOS,7,BFS,Completed,61,4.162,33.129
MINI COSMOS,8,BFS,Completed,93,25.196,103.883
MINI COSMOS,9,BFS,Completed,85,1.572,22.559
MINI COSMOS,10,BFS,Completed,102,6.164,45.648
MINI COSMOS,11,BFS,Completed,74,5.118,39.023
MINI COSMOS,12,BFS,Completed,112,66.530,182.480
MINI COSMOS,13,BFS,Completed,80,19.965,102.145
MINI COSMOS,14,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,15,BFS,Completed,82,3.592,33.797
MINI COSMOS,16,BFS,Completed,114,19.599,97.172
MINI COSMOS,17,BFS,Completed,65,2.542,25.441
MINI COSMOS,18,BFS,Completed,110,12.614,75.387
MINI COSMOS,19,BFS,Completed,72,4.797,40.738
MINI COSMOS,20,BFS,Completed,112,30.588,128.387
MINI COSMOS,21,BFS,Completed,71,5.309,42.453
MINI COSMOS,22,BFS,Completed,99,21.612,102.719
MINI COSMOS,23,BFS,Completed,99,44.625,172.492
MINI COSMOS,24,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,25,BFS,Completed,81,5.130,44.469
MINI COSMOS,26,BFS,Completed,133,44.888,167.305
MINI COSMOS,27,BFS,Completed,103,7.211,54.676
MINI COSMOS,28,BFS,Completed,189,66.473,201.832
MINI COSMOS,29,BFS,Completed,58,4.266,39.250
MINI COSMOS,30,BFS,Completed,168,140.789,285.387
MINI COSMOS,31,BFS,Completed,74,0.723,19.895
MINI COSMOS,32,BFS,Completed,91,0.682,17.629
MINI COSMOS,33,BFS,Completed,94,6.755,51.051
MINI COSMOS,34,BFS,Completed,101,9.842,63.910
MINI COSMOS,35,BFS,Completed,88,1.271,20.391
MINI COSMOS,36,BFS,Completed,72,3.051,28.781
MINI COSMOS,37,BFS,Completed,96,3.480,33.238
MINI COSMOS,38,BFS,Completed,50,3.910,30.910
MINI COSMOS,39,BFS,Completed,100,17.547,96.918
MINI COSMOS,40,BFS,Completed,84,3.850,31.379
MICRO COSMOS,1,BFS,Completed,49,208.810,316.266
MICRO COSMOS,2,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,3,BFS,Completed,123,28.953,137.809
MICRO COSMOS,4,BFS,Completed,107,368.145,346.395
MICRO COSMOS,5,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,6,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,7,BFS,Completed,110,10.404,72.703
MICRO COSMOS,8,BFS,Completed,89,191.848,313.734
MICRO COSMOS,9,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,10,BFS,Completed,117,79.487,216.762
MICRO COSMOS,11,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,12,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,13,BFS,Completed,128,35.031,142.121
MICRO COSMOS,14,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,15,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,16,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,17,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,18,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,19,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,20,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,21,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,22,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,23,BFS,Completed,91,26.699,118.367
MICRO COSMOS,24,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,25,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,26,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,27,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,28,BFS,Completed,73,2.815,27.176
MICRO COSMOS,29,BFS,Completed,83,6.403,43.035
MICRO COSMOS,30,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,31,BFS,Completed,101,20.629,106.082
MICRO COSMOS,32,BFS,Completed,82,42.059,161.824
MICRO COSMOS,33,BFS,Completed,173,522.953,515.301
MICRO COSMOS,34,BFS,Completed,100,274.793,364.285
MICRO COSMOS,35,BFS,Completed,70,187.682,279.176
MICRO COSMOS,36,BFS,Completed,98,248.783,329.988
MICRO COSMOS,37,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,38,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,39,BFS,Completed,151,83.735,200.613
MICRO COSMOS,40,BFS,Completed,150,33.973,131.246
