Map,Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
MINI COSMOS,1,BFS,378,37,0.000999,0.003906
MINI COSMOS,2,BFS,1445,60,0.004987,0.128906
MINI COSMOS,3,BFS,2658,69,0.011967,0.402344
MINI COSMOS,4,BFS,893,71,0.002990,0.402344
MINI COSMOS,5,BFS,5830,104,0.021941,0.683594
MINI COSMOS,6,BFS,17258,99,0.074799,2.070312
MINI COSMOS,7,BFS,4520,61,0.016953,2.074219
MINI COSMOS,8,BFS,13791,93,0.054891,2.113281
MINI COSMOS,9,BFS,2321,85,0.008951,2.113281
MINI COSMOS,10,BFS,6555,102,0.032913,2.113281
MINI COSMOS,11,BFS,5321,74,0.018951,2.128906
MINI COSMOS,12,BFS,28398,112,0.123736,3.136719
MINI COSMOS,13,BFS,13616,80,0.061835,3.160156
MINI COSMOS,14,BFS,92405,121,0.384435,10.632812
MINI COSMOS,15,BFS,4945,82,0.019947,8.628906
MINI COSMOS,16,BFS,13018,114,0.061074,8.628906
MINI COSMOS,17,BFS,3381,65,0.018949,8.628906
MINI COSMOS,18,BFS,10859,110,0.048869,8.628906
MINI COSMOS,19,BFS,5722,72,0.039892,8.628906
MINI COSMOS,20,BFS,17955,112,0.162563,8.628906
MINI COSMOS,21,BFS,6192,71,0.059839,8.628906
MINI COSMOS,22,BFS,14535,99,0.135641,8.628906
MINI COSMOS,23,BFS,21941,99,0.082816,8.628906
MINI COSMOS,24,BFS,166311,177,0.718547,15.359375
MINI COSMOS,25,BFS,5917,81,0.022938,13.515625
MINI COSMOS,26,BFS,24340,133,0.096815,13.960938
MINI COSMOS,27,BFS,7338,103,0.025499,13.960938
MINI COSMOS,28,BFS,28449,189,0.120418,13.960938
MINI COSMOS,29,BFS,4976,58,0.019374,13.960938
MINI COSMOS,30,BFS,40421,168,0.143022,13.988281
MINI COSMOS,31,BFS,1239,74,0.006201,13.988281
MINI COSMOS,32,BFS,1342,91,0.006980,13.988281
MINI COSMOS,33,BFS,7444,94,0.028918,13.988281
MINI COSMOS,34,BFS,10390,101,0.054890,13.988281
MINI COSMOS,35,BFS,2119,88,0.004197,13.988281
MINI COSMOS,36,BFS,4823,72,0.018951,13.988281
MINI COSMOS,37,BFS,4914,96,0.020943,13.988281
MINI COSMOS,38,BFS,5819,50,0.021982,13.988281
MINI COSMOS,39,BFS,12557,100,0.047902,13.988281
MINI COSMOS,40,BFS,4625,84,0.021507,13.738281
MICRO COSMOS,1,BFS,54490,49,0.218553,15.742188
MICRO COSMOS,2,BFS,778499,211,3.688451,74.066406
MICRO COSMOS,3,BFS,16620,123,0.076793,62.308594
MICRO COSMOS,4,BFS,84236,107,0.349231,59.156250
MICRO COSMOS,5,BFS,1041482,116,5.517955,116.421875
MICRO COSMOS,6,BFS,163865,65,0.752206,96.218750
MICRO COSMOS,7,BFS,9852,110,0.036937,70.554688
MICRO COSMOS,8,BFS,53322,89,0.284922,53.628906
MICRO COSMOS,9,BFS,287450,209,1.292639,50.519531
MICRO COSMOS,10,BFS,28837,117,0.116411,33.035156
MICRO COSMOS,11,BFS,156675,125,0.665126,33.316406
MICRO COSMOS,12,BFS,108386,67,0.458727,31.570312
MICRO COSMOS,13,BFS,19855,128,0.077828,27.242188
MICRO COSMOS,14,BFS,153686,164,0.636049,29.039062
MICRO COSMOS,15,BFS,361288,139,1.492759,37.070312
MICRO COSMOS,16,BFS,366858,119,1.622701,36.957031
MICRO COSMOS,17,BFS,900689,188,4.014299,94.542969
MICRO COSMOS,18,BFS,113525,147,0.495136,81.109375
MICRO COSMOS,19,BFS,927057,124,4.493330,101.695312
MICRO COSMOS,20,BFS,106522,146,0.491814,86.324219
MICRO COSMOS,21,BFS,145805,185,0.669202,81.472656
MICRO COSMOS,22,BFS,1412851,170,6.725378,146.324219
MICRO COSMOS,23,BFS,17929,91,0.074839,122.957031
MICRO COSMOS,24,BFS,580177,165,3.049147,92.390625
MICRO COSMOS,25,BFS,201502,130,0.789764,68.632812
MICRO COSMOS,26,BFS,663258,176,3.135278,71.289062
MICRO COSMOS,27,BFS,116258,234,0.489151,61.402344
MICRO COSMOS,28,BFS,4907,73,0.017603,57.652344
MICRO COSMOS,29,BFS,8138,83,0.037901,55.042969
MICRO COSMOS,30,BFS,91038,161,0.345324,53.109375
MICRO COSMOS,31,BFS,12878,101,0.062834,45.378906
MICRO COSMOS,32,BFS,20189,82,0.098735,36.878906
MICRO COSMOS,33,BFS,77061,173,0.338044,34.136719
MICRO COSMOS,34,BFS,57606,100,0.254102,32.136719
MICRO COSMOS,35,BFS,34148,70,0.116529,26.632812
MICRO COSMOS,36,BFS,59507,98,0.216192,26.636719
MICRO COSMOS,37,BFS,181267,184,0.752281,25.898438
MICRO COSMOS,38,BFS,171579,188,0.736604,24.421875
MICRO COSMOS,39,BFS,32836,151,0.123392,21.167969
MICRO COSMOS,40,BFS,19363,150,0.091801,19.667969
