Map,Level,Boxes,Paths
MINI COSMOS,1,1,24
MINI COSMOS,2,2,24
MINI COSMOS,3,3,24
MINI COSMOS,4,1,28
MINI COSMOS,5,2,28
MINI COSMOS,6,3,28
MINI COSMOS,7,2,25
MINI COSMOS,8,3,25
MINI COSMOS,9,2,23
MINI COSMOS,10,3,23
MINI COSMOS,11,2,26
MINI COSMOS,12,3,26
MINI COSMOS,13,2,29
MINI COSMOS,14,3,29
MINI COSMOS,15,2,24
MINI COSMOS,16,3,24
MINI COSMOS,17,2,28
MINI COSMOS,18,3,28
MINI COSMOS,19,2,27
MINI COSMOS,20,3,27
MINI COSMOS,21,2,25
MINI COSMOS,22,3,25
MINI COSMOS,23,2,35
MINI COSMOS,24,3,35
MINI COSMOS,25,2,29
MINI COSMOS,26,3,29
MINI COSMOS,27,2,28
MINI COSMOS,28,3,28
MINI COSMOS,29,2,30
MINI COSMOS,30,3,30
MINI COSMOS,31,2,21
MINI COSMOS,32,2,19
MINI COSMOS,33,3,23
MINI COSMOS,34,3,23
MINI COSMOS,35,3,20
MINI COSMOS,36,3,21
MINI COSMOS,37,3,22
MINI COSMOS,38,3,21
MINI COSMOS,39,3,26
MINI COSMOS,40,3,21
MICRO COSMOS,1,4,24
MICRO COSMOS,2,4,48
MICRO COSMOS,3,3,28
MICRO COSMOS,4,4,21
MICRO COSMOS,5,6,33
MICRO COSMOS,6,5,25
MICRO COSMOS,7,3,23
MICRO COSMOS,8,4,24
MICRO COSMOS,9,4,28
MICRO COSMOS,10,3,28
MICRO COSMOS,11,5,26
MICRO COSMOS,12,6,24
MICRO COSMOS,13,4,24
MICRO COSMOS,14,4,29
MICRO COSMOS,15,4,33
MICRO COSMOS,16,4,30
MICRO COSMOS,17,4,35
MICRO COSMOS,18,4,28
MICRO COSMOS,19,6,30
MICRO COSMOS,20,4,34
MICRO COSMOS,21,5,29
MICRO COSMOS,22,4,36
MICRO COSMOS,23,4,22
MICRO COSMOS,24,5,34
MICRO COSMOS,25,4,28
MICRO COSMOS,26,5,38
MICRO COSMOS,27,4,30
MICRO COSMOS,28,3,20
MICRO COSMOS,29,4,21
MICRO COSMOS,30,4,31
MICRO COSMOS,31,4,27
MICRO COSMOS,32,4,27
MICRO COSMOS,33,4,26
MICRO COSMOS,34,4,25
MICRO COSMOS,35,5,22
MICRO COSMOS,36,4,23
MICRO COSMOS,37,4,30
MICRO COSMOS,38,4,31
MICRO COSMOS,39,4,24
MICRO COSMOS,40,3,26
